id,Название,Цена,Цена без скидки
360397,"Карамель леденцовая ЯШКИНО с фруктово-ягодной начинкой, вес",4998,4998
360701,"Печенье ЮБИЛЕЙНОЕ ореховое с глазурью, 116г",4999,6499
362070,"Вафли 365 ДНЕЙ со сливочным ароматом, 200г",3299,3299
363546,"Конфеты RAFFAELLO с цельным миндальным орехом в кокосовой обсыпке, 90г",17999,21999
364426,"Конфеты жевательные MAMBA Тропикс, 26,5г",2999,3499
367651,"Зефир 365 ДНЕЙ с ароматом ванили, 270г",9999,9999
370234,"Рулет 365 ДНЕЙ с маком, 200г",5599,5599
371230,"Шоколад белый RITTER SPORT Цельный лесной орех и хлопья, 100г",16999,24999
371232,"Шоколад молочный RITTER SPORT Цельный лесной орех, 100г",16999,24999
371233,"Шоколад темный RITTER SPORT Цельный лесной орех, 100г",16999,24999
371234,"Шоколад молочный RITTER SPORT Цельный миндаль, 100г",16999,24999
371290,"Печенье 365 ДНЕЙ Овсяное классическое, 300г",3799,3799
371291,"Печенье 365 ДНЕЙ Мария затяжное, 300г",5999,5999
372606,"Мармелад жевательный FRUIT-TELLA Медвежата, 150г",10999,12999
372618,"Мармелад жевательный FRUIT-TELLA Звери mix, 150г",10999,12999
376605,"Шоколад молочный RITTER SPORT Лесной орех, 100г",14999,18999
376651,"Жевательная резинка WRIGLEY'S Juicy fruit, 13г",2499,3499
376760,"Конфеты шоколадные BOUNTY с нежной мякотью кокоса, весовые",19998,19998
378491,"Карамель WERTHER'S ORIGINAL сливочная, 50г",6499,7999
379292,"Жевательная резинка DIROL X-Fresh Ледяной мандарин, 16г",4999,6999
379293,"Жевательная резинка DIROL X-fresh Арбузный лед, 16г",4999,6999
379322,"Карамель леденцовая HALLS Colors ассорти, 25г",3499,4999
379323,"Карамель леденцовая HALLS Мед и лимон, 25г",3499,4999
379344,"Конфеты KONTI Живинка арбуз, весовые",7498,7498
379390,"Батончик мюсли EVERYDAY Gigant Орехи и мед, 50г",3499,4999
381741,"Козинак ТИМОША Подсолнечный, 150г",3999,3999
382369,"Штрудель ШТРУДЕЛЬ И КО Австрийский с вишней, 280г",22999,22999
386373,"Торт вафельный ШОКОЛАДНИЦА Классический в глазури, 240г",12999,19999
386376,"Жевательная резинка ORBIT White XXL Bubblemint без сахара, 20,4г",4499,5999
